package,ondiskversion,loadedversion,path,loadedpath,attached,is_base,date,source,md5ok,library
lubridate,1.7.4,1.7.4,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/lubridate,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/lubridate,FALSE,FALSE,2018-04-11,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
magrittr,1.5,1.5,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/magrittr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/magrittr,FALSE,FALSE,2014-11-22,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
MASS,7.3.51.4,7.3-51.4,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/MASS,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/MASS,FALSE,FALSE,2019-03-31,CRAN (R 3.6.1),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
memoise,1.1.0,1.1.0,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/memoise,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/memoise,FALSE,FALSE,2017-04-21,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
mime,0.7,0.7,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/mime,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/mime,FALSE,FALSE,2019-06-11,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
modelr,0.1.4,0.1.4,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/modelr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/modelr,FALSE,FALSE,2019-02-18,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
munsell,0.5.0,0.5.0,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/munsell,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/munsell,FALSE,FALSE,2018-06-12,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
nlme,3.1.140,3.1-140,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/nlme,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/nlme,FALSE,FALSE,2019-05-12,CRAN (R 3.6.1),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
pillar,1.4.2,1.4.2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/pillar,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/pillar,FALSE,FALSE,2019-06-29,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
pkgbuild,1.0.3,1.0.3,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/pkgbuild,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/pkgbuild,FALSE,FALSE,2019-03-20,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
pkgconfig,2.0.2,2.0.2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/pkgconfig,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/pkgconfig,FALSE,FALSE,2018-08-16,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
pkgload,1.0.2,1.0.2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/pkgload,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/pkgload,FALSE,FALSE,2018-10-29,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
plotly,4.9.0,4.9.0,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/plotly,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/plotly,TRUE,FALSE,2019-04-10,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
plyr,1.8.4,1.8.4,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/plyr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/plyr,FALSE,FALSE,2016-06-08,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
prettyunits,1.0.2,1.0.2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/prettyunits,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/prettyunits,FALSE,FALSE,2015-07-13,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
processx,3.4.1,3.4.1,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/processx,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/processx,FALSE,FALSE,2019-07-18,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
promises,1.0.1,1.0.1,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/promises,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/promises,FALSE,FALSE,2018-04-13,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
ps,1.3.0,1.3.0,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/ps,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/ps,FALSE,FALSE,2018-12-21,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
purrr,0.3.2,0.3.2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/purrr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/purrr,TRUE,FALSE,2019-03-15,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
qtl2hotspots,0.1.0,0.1.0,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/qtl2hotspots,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/qtl2hotspots,TRUE,FALSE,2019-07-26,local,NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
R6,2.4.0,2.4.0,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/R6,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/R6,FALSE,FALSE,2019-02-14,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
RColorBrewer,1.1.2,1.1-2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/RColorBrewer,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/RColorBrewer,FALSE,FALSE,2014-12-07,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
Rcpp,1.0.2,1.0.2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/Rcpp,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/Rcpp,FALSE,FALSE,2019-07-25,CRAN (R 3.6.1),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
readr,1.3.1,1.3.1,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/readr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/readr,TRUE,FALSE,2018-12-21,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
readxl,1.3.1,1.3.1,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/readxl,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/readxl,FALSE,FALSE,2019-03-13,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
registry,0.5.1,0.5-1,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/registry,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/registry,FALSE,FALSE,2019-03-05,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
remotes,2.1.0,2.1.0,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/remotes,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/remotes,FALSE,FALSE,2019-06-24,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
reshape2,1.4.3,1.4.3,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/reshape2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/reshape2,FALSE,FALSE,2017-12-11,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
rlang,0.4.0,0.4.0,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/rlang,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/rlang,FALSE,FALSE,2019-06-25,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
rprojroot,1.3.2,1.3-2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/rprojroot,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/rprojroot,FALSE,FALSE,2018-01-03,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
rstudioapi,0.10,0.10,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/rstudioapi,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/rstudioapi,FALSE,FALSE,2019-03-19,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
rvest,0.3.4,0.3.4,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/rvest,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/rvest,FALSE,FALSE,2019-05-15,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
scales,1.0.0,1.0.0,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/scales,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/scales,FALSE,FALSE,2018-08-09,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
seriation,1.2.7,1.2-7,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/seriation,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/seriation,FALSE,FALSE,2019-06-08,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
sessioninfo,1.1.1,1.1.1,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/sessioninfo,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/sessioninfo,FALSE,FALSE,2018-11-05,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
shiny,1.3.2,1.3.2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/shiny,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/shiny,FALSE,FALSE,2019-04-22,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
stringi,1.4.3,1.4.3,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/stringi,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/stringi,FALSE,FALSE,2019-03-12,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
stringr,1.4.0,1.4.0,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/stringr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/stringr,TRUE,FALSE,2019-02-10,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
svglite,1.2.2,1.2.2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/svglite,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/svglite,FALSE,FALSE,2019-05-17,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
testthat,2.2.1,2.2.1,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/testthat,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/testthat,FALSE,FALSE,2019-07-25,CRAN (R 3.6.1),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
tibble,2.1.3,2.1.3,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/tibble,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/tibble,TRUE,FALSE,2019-06-06,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
tidyr,0.8.3,0.8.3,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/tidyr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/tidyr,TRUE,FALSE,2019-03-01,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
tidyselect,0.2.5,0.2.5,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/tidyselect,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/tidyselect,FALSE,FALSE,2018-10-11,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
tidyverse,1.2.1,1.2.1,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/tidyverse,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/tidyverse,TRUE,FALSE,2017-11-14,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
TSP,1.1.7,1.1-7,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/TSP,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/TSP,FALSE,FALSE,2019-05-22,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
usethis,1.5.1,1.5.1,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/usethis,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/usethis,FALSE,FALSE,2019-07-04,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
vctrs,0.2.0,0.2.0,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/vctrs,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/vctrs,FALSE,FALSE,2019-07-05,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
viridis,0.5.1,0.5.1,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/viridis,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/viridis,TRUE,FALSE,2018-03-29,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
viridisLite,0.3.0,0.3.0,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/viridisLite,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/viridisLite,TRUE,FALSE,2018-02-01,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
webshot,0.5.1,0.5.1,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/webshot,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/webshot,FALSE,FALSE,2018-09-28,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
